fold_id,model_name,set,accuracy,precision,recall,f1,auc
16,BernoulliNB,test,0.904,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9157392686804452
17,BernoulliNB,train,0.9,0.8785046728971962,0.8867924528301887,0.8826291079812206,0.9214491614255764
17,BernoulliNB,test,0.9193548387096774,0.8823529411764706,0.9183673469387756,0.9,0.9263945578231292
18,BernoulliNB,train,0.891566265060241,0.8771929824561403,0.8849557522123894,0.8810572687224669,0.9085111920874543
18,BernoulliNB,test,0.936,0.8863636363636364,0.9285714285714286,0.9069767441860463,0.9539586919104992
19,BernoulliNB,train,0.9116465863453816,0.8846153846153846,0.9019607843137256,0.8932038834951457,0.9366746698679472
19,BernoulliNB,test,0.896,0.8703703703703703,0.8867924528301887,0.8785046728971964,0.9190251572327044
20,BernoulliNB,train,0.916,0.8775510204081632,0.9052631578947368,0.8911917098445595,0.939490662139219
20,BernoulliNB,test,0.8870967741935484,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.912890625
21,BernoulliNB,train,0.9036144578313252,0.875,0.8921568627450981,0.883495145631068,0.9236361211151126
21,BernoulliNB,test,0.912,0.8888888888888888,0.9056603773584906,0.897196261682243,0.9177148846960168
22,BernoulliNB,train,0.9076305220883534,0.8796296296296297,0.9047619047619048,0.892018779342723,0.927910052910053
22,BernoulliNB,test,0.904,0.88,0.88,0.88,0.9166666666666669
23,BernoulliNB,train,0.908,0.8846153846153846,0.8932038834951457,0.8888888888888888,0.9309821015784956
23,BernoulliNB,test,0.8951612903225806,0.8545454545454545,0.903846153846154,0.8785046728971962,0.935897435897436
24,BernoulliNB,train,0.8835341365461847,0.8673469387755102,0.8415841584158416,0.8542713567839196,0.9114597270537864
24,BernoulliNB,test,0.944,0.912280701754386,0.9629629629629628,0.9369369369369368,0.9696139801773604
25,BernoulliNB,train,0.9116465863453816,0.8737864077669902,0.9090909090909092,0.891089108910891,0.9375420875420876
25,BernoulliNB,test,0.896,0.8909090909090909,0.875,0.8828828828828829,0.9165372670807452
26,BernoulliNB,train,0.92,0.9017857142857144,0.9181818181818182,0.90990990990991,0.9367857142857144
26,BernoulliNB,test,0.8790322580645161,0.8260869565217391,0.8444444444444444,0.8351648351648352,0.8873417721518987
27,BernoulliNB,train,0.927710843373494,0.8899082568807339,0.941747572815534,0.9150943396226414,0.9424458039632928
27,BernoulliNB,test,0.864,0.8571428571428571,0.8076923076923077,0.8316831683168318,0.8848788198103267
28,BernoulliNB,train,0.8955823293172691,0.8865979381443299,0.8514851485148515,0.8686868686868687,0.9181495852287932
28,BernoulliNB,test,0.92,0.8548387096774194,0.9814814814814816,0.913793103448276,0.9535732916014608
29,BernoulliNB,train,0.896,0.8636363636363636,0.8962264150943396,0.8796296296296295,0.9181407232704402
29,BernoulliNB,test,0.9274193548387096,0.9166666666666666,0.8979591836734694,0.9072164948453608,0.9304761904761903
