,fold_id,model_name,set,accuracy,precision,recall,f1
1513,156,stacked,test,0.9230769230769231,0.8695652173913043,0.9523809523809523,0.909090909090909
1514,157,stacked,train,0.9514563106796117,0.9545454545454546,0.9333333333333333,0.9438202247191012
1515,157,stacked,test,0.8846153846153846,0.9642857142857143,0.84375,0.8999999999999999
1516,158,stacked,train,0.9038461538461539,0.8909090909090909,0.9245283018867925,0.9074074074074073
1517,158,stacked,test,0.9607843137254902,0.9230769230769231,1.0,0.9600000000000001
1518,159,stacked,train,0.9611650485436893,0.9767441860465116,0.9333333333333333,0.9545454545454545
1519,159,stacked,test,0.8846153846153846,0.8823529411764706,0.9375,0.9090909090909091
1520,160,stacked,train,0.9223300970873787,0.9259259259259259,0.9259259259259259,0.9259259259259259
1521,160,stacked,test,0.8269230769230769,0.7916666666666666,0.8260869565217391,0.8085106382978724
1522,161,stacked,train,0.9230769230769231,0.9272727272727272,0.9272727272727272,0.9272727272727272
1523,161,stacked,test,0.9215686274509803,0.95,0.8636363636363636,0.9047619047619048
1524,162,stacked,train,0.970873786407767,0.9803921568627451,0.9615384615384616,0.970873786407767
1525,162,stacked,test,0.8461538461538461,0.84,0.84,0.8399999999999999
1526,163,stacked,train,0.8932038834951457,0.88,0.8979591836734694,0.888888888888889
1527,163,stacked,test,0.9038461538461539,0.8709677419354839,0.9642857142857143,0.9152542372881356
1528,164,stacked,train,0.9326923076923077,0.9423076923076923,0.9245283018867925,0.9333333333333333
1529,164,stacked,test,0.9411764705882353,0.92,0.9583333333333334,0.9387755102040817
1530,165,stacked,train,0.9514563106796117,0.9411764705882353,0.96,0.9504950495049505
1531,165,stacked,test,0.9230769230769231,0.896551724137931,0.9629629629629629,0.9285714285714286
1532,166,stacked,train,0.8932038834951457,0.9148936170212766,0.86,0.8865979381443299
1533,166,stacked,test,0.9038461538461539,0.9230769230769231,0.8888888888888888,0.9056603773584906
1534,167,stacked,train,0.9423076923076923,0.9444444444444444,0.9444444444444444,0.9444444444444444
1535,167,stacked,test,0.9019607843137255,0.9090909090909091,0.8695652173913043,0.888888888888889
1536,168,stacked,train,0.9029126213592233,0.9038461538461539,0.9038461538461539,0.9038461538461539
1537,168,stacked,test,0.9230769230769231,0.92,0.92,0.92
1538,169,stacked,train,0.941747572815534,0.9310344827586207,0.9642857142857143,0.9473684210526316
1539,169,stacked,test,0.9423076923076923,0.95,0.9047619047619048,0.9268292682926829
1540,170,stacked,train,0.9326923076923077,0.9333333333333333,0.9130434782608695,0.9230769230769231
1541,170,stacked,test,0.8235294117647058,0.8235294117647058,0.9032258064516129,0.8615384615384616
1542,171,stacked,train,0.912621359223301,0.8833333333333333,0.9636363636363636,0.9217391304347826
1543,171,stacked,test,0.9230769230769231,0.8461538461538461,1.0,0.9166666666666666
1544,172,stacked,train,0.9223300970873787,0.9361702127659575,0.8979591836734694,0.9166666666666666
1545,172,stacked,test,0.8846153846153846,0.8666666666666667,0.9285714285714286,0.896551724137931
1546,173,stacked,train,0.9615384615384616,0.96,0.96,0.96
1547,173,stacked,test,0.8627450980392157,0.9545454545454546,0.7777777777777778,0.8571428571428572
1548,174,stacked,train,0.9611650485436893,0.9387755102040817,0.9787234042553191,0.9583333333333333
1549,174,stacked,test,0.8653846153846154,0.8709677419354839,0.9,0.8852459016393444
1550,175,stacked,train,0.9223300970873787,0.9387755102040817,0.9019607843137255,0.92
1551,175,stacked,test,0.8846153846153846,0.9545454545454546,0.8076923076923077,0.875
1552,176,stacked,train,0.9423076923076923,0.9464285714285714,0.9464285714285714,0.9464285714285714
1553,176,stacked,test,0.8823529411764706,0.8260869565217391,0.9047619047619048,0.8636363636363636
1554,177,stacked,train,0.912621359223301,0.9,0.9183673469387755,0.9090909090909091
1555,177,stacked,test,0.8653846153846154,0.8620689655172413,0.8928571428571429,0.8771929824561403
1556,178,stacked,train,0.912621359223301,0.9245283018867925,0.9074074074074074,0.9158878504672898
1557,178,stacked,test,0.9038461538461539,0.875,0.9130434782608695,0.8936170212765957
1558,179,stacked,train,0.9519230769230769,0.9423076923076923,0.9607843137254902,0.9514563106796117
1559,179,stacked,test,0.8823529411764706,0.8846153846153846,0.8846153846153846,0.8846153846153846
1560,180,stacked,train,0.9320388349514563,0.9230769230769231,0.9411764705882353,0.9320388349514563
1561,180,stacked,test,0.9038461538461539,0.92,0.8846153846153846,0.9019607843137256
1562,181,stacked,train,0.9223300970873787,0.9545454545454546,0.875,0.9130434782608695
1563,181,stacked,test,0.8846153846153846,0.96,0.8275862068965517,0.888888888888889
1564,182,stacked,train,0.9230769230769231,0.9272727272727272,0.9272727272727272,0.9272727272727272
1565,182,stacked,test,0.9019607843137255,0.84,0.9545454545454546,0.8936170212765958
1566,183,stacked,train,0.912621359223301,0.9,0.9183673469387755,0.9090909090909091
1567,183,stacked,test,0.9423076923076923,0.9310344827586207,0.9642857142857143,0.9473684210526316
1568,184,stacked,train,0.941747572815534,0.9565217391304348,0.9166666666666666,0.9361702127659574
1569,184,stacked,test,0.8653846153846154,0.9230769230769231,0.8275862068965517,0.8727272727272727
1570,185,stacked,train,0.9423076923076923,0.9322033898305084,0.9649122807017544,0.9482758620689654
1571,185,stacked,test,0.8627450980392157,0.76,0.95,0.8444444444444444
1572,186,stacked,train,0.912621359223301,0.92,0.9019607843137255,0.9108910891089109
1573,186,stacked,test,0.8461538461538461,0.9090909090909091,0.7692307692307693,0.8333333333333333
1574,187,stacked,train,0.9029126213592233,0.9074074074074074,0.9074074074074074,0.9074074074074074
1575,187,stacked,test,0.9423076923076923,0.9545454545454546,0.9130434782608695,0.9333333333333332
1576,188,stacked,train,0.9711538461538461,0.96,0.9795918367346939,0.9696969696969697
1577,188,stacked,test,0.8823529411764706,0.8666666666666667,0.9285714285714286,0.896551724137931
1578,189,stacked,train,0.8932038834951457,0.8727272727272727,0.9230769230769231,0.897196261682243
1579,189,stacked,test,0.9807692307692307,0.9615384615384616,1.0,0.9803921568627451
1580,190,stacked,train,0.9514563106796117,0.9444444444444444,0.9622641509433962,0.9532710280373832
1581,190,stacked,test,0.9230769230769231,0.9166666666666666,0.9166666666666666,0.9166666666666666
1582,191,stacked,train,0.9519230769230769,1.0,0.8979591836734694,0.9462365591397849
1583,191,stacked,test,0.8235294117647058,0.9130434782608695,0.75,0.8235294117647057
1584,192,stacked,train,0.8932038834951457,0.8823529411764706,0.9,0.8910891089108911
1585,192,stacked,test,0.9615384615384616,0.9629629629629629,0.9629629629629629,0.9629629629629629
1586,193,stacked,train,0.9805825242718447,0.9642857142857143,1.0,0.9818181818181818
1587,193,stacked,test,0.8846153846153846,0.8695652173913043,0.8695652173913043,0.8695652173913043
1588,194,stacked,train,0.9326923076923077,0.9574468085106383,0.9,0.9278350515463918
1589,194,stacked,test,0.8431372549019608,0.8518518518518519,0.8518518518518519,0.8518518518518519
1590,195,stacked,train,0.9514563106796117,0.94,0.9591836734693877,0.9494949494949495
1591,195,stacked,test,0.8653846153846154,0.9565217391304348,0.7857142857142857,0.8627450980392156
1592,196,stacked,train,0.9611650485436893,0.9642857142857143,0.9642857142857143,0.9642857142857143
1593,196,stacked,test,0.8653846153846154,0.7692307692307693,0.9523809523809523,0.8510638297872339
1594,197,stacked,train,0.9134615384615384,0.9,0.9183673469387755,0.9090909090909091
1595,197,stacked,test,0.9019607843137255,0.96,0.8571428571428571,0.9056603773584904
1596,198,stacked,train,0.883495145631068,0.8653846153846154,0.9,0.8823529411764707
1597,198,stacked,test,0.9615384615384616,0.9629629629629629,0.9629629629629629,0.9629629629629629
1598,199,stacked,train,0.9223300970873787,0.9259259259259259,0.9259259259259259,0.9259259259259259
1599,199,stacked,test,0.8846153846153846,0.9047619047619048,0.8260869565217391,0.8636363636363636
1600,200,stacked,train,0.9615384615384616,0.96,0.96,0.96
1601,200,stacked,test,0.9019607843137255,0.8928571428571429,0.9259259259259259,0.9090909090909091
1602,201,stacked,train,0.8932038834951457,0.875,0.9245283018867925,0.8990825688073395
1603,201,stacked,test,0.9038461538461539,0.88,0.9166666666666666,0.8979591836734694
1604,202,stacked,train,0.9320388349514563,0.9375,0.9183673469387755,0.9278350515463918
1605,202,stacked,test,0.9038461538461539,0.9259259259259259,0.8928571428571429,0.9090909090909091
1606,203,stacked,train,0.9615384615384616,0.98,0.9423076923076923,0.9607843137254902
1607,203,stacked,test,0.8431372549019608,0.8695652173913043,0.8,0.8333333333333333
1608,204,stacked,train,0.912621359223301,0.9148936170212766,0.8958333333333334,0.9052631578947369
1609,204,stacked,test,0.9038461538461539,0.9,0.9310344827586207,0.9152542372881356
1610,205,stacked,train,0.941747572815534,0.9285714285714286,0.9629629629629629,0.9454545454545454
1611,205,stacked,test,0.8653846153846154,0.8333333333333334,0.8695652173913043,0.851063829787234
1612,206,stacked,train,0.9134615384615384,0.9056603773584906,0.9230769230769231,0.9142857142857143
1613,206,stacked,test,0.9019607843137255,0.9545454545454546,0.84,0.8936170212765958
1614,207,stacked,train,0.9320388349514563,0.9433962264150944,0.9259259259259259,0.9345794392523364
1615,207,stacked,test,0.8461538461538461,0.8571428571428571,0.782608695652174,0.8181818181818182
1616,208,stacked,train,0.912621359223301,0.8888888888888888,0.9411764705882353,0.9142857142857143
1617,208,stacked,test,0.9038461538461539,0.8387096774193549,1.0,0.9122807017543859
1618,209,stacked,train,0.9230769230769231,0.9019607843137255,0.9387755102040817,0.92
1619,209,stacked,test,0.9215686274509803,0.9615384615384616,0.8928571428571429,0.9259259259259259
1620,210,stacked,train,0.9320388349514563,0.9152542372881356,0.9642857142857143,0.9391304347826087
1621,210,stacked,test,0.9230769230769231,0.8695652173913043,0.9523809523809523,0.909090909090909
1622,211,stacked,train,0.9223300970873787,0.9056603773584906,0.9411764705882353,0.923076923076923
1623,211,stacked,test,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
1624,212,stacked,train,0.9134615384615384,0.9318181818181818,0.8723404255319149,0.9010989010989012
1625,212,stacked,test,0.9019607843137255,0.9629629629629629,0.8666666666666667,0.912280701754386
1626,213,stacked,train,0.8737864077669902,0.85,0.9272727272727272,0.8869565217391303
1627,213,stacked,test,0.9807692307692307,0.9565217391304348,1.0,0.9777777777777777
1628,214,stacked,train,1.0,1.0,1.0,1.0
1629,214,stacked,test,0.8076923076923077,0.75,0.9230769230769231,0.8275862068965517
1630,215,stacked,train,0.9326923076923077,0.9555555555555556,0.8958333333333334,0.924731182795699
1631,215,stacked,test,0.8431372549019608,0.9565217391304348,0.7586206896551724,0.8461538461538461
1632,216,stacked,train,0.883495145631068,0.8913043478260869,0.8541666666666666,0.8723404255319149
1633,216,stacked,test,0.9038461538461539,0.9285714285714286,0.896551724137931,0.912280701754386
1634,217,stacked,train,0.941747572815534,0.9272727272727272,0.9622641509433962,0.9444444444444444
1635,217,stacked,test,0.8846153846153846,0.8214285714285714,0.9583333333333334,0.8846153846153847
1636,218,stacked,train,0.9519230769230769,0.9615384615384616,0.9433962264150944,0.9523809523809524
1637,218,stacked,test,0.9215686274509803,0.9166666666666666,0.9166666666666666,0.9166666666666666
1638,219,stacked,train,0.9514563106796117,0.9444444444444444,0.9622641509433962,0.9532710280373832
1639,219,stacked,test,0.8846153846153846,0.8461538461538461,0.9166666666666666,0.8799999999999999
1640,220,stacked,train,0.9029126213592233,0.8727272727272727,0.9411764705882353,0.9056603773584905
1641,220,stacked,test,0.9038461538461539,0.8888888888888888,0.9230769230769231,0.9056603773584906
1642,221,stacked,train,0.9519230769230769,0.9591836734693877,0.94,0.9494949494949495
1643,221,stacked,test,0.9215686274509803,0.96,0.8888888888888888,0.923076923076923
1644,222,stacked,train,0.9223300970873787,0.9038461538461539,0.94,0.9215686274509804
1645,222,stacked,test,0.9038461538461539,0.9230769230769231,0.8888888888888888,0.9056603773584906
1646,223,stacked,train,0.9514563106796117,0.9245283018867925,0.98,0.9514563106796116
1647,223,stacked,test,0.8846153846153846,0.92,0.8518518518518519,0.8846153846153846
1648,224,stacked,train,0.9230769230769231,0.9107142857142857,0.9444444444444444,0.9272727272727271
1649,224,stacked,test,0.8823529411764706,0.84,0.9130434782608695,0.8749999999999999
1650,225,stacked,train,0.9805825242718447,0.9622641509433962,1.0,0.9807692307692307
1651,225,stacked,test,0.9038461538461539,0.92,0.8846153846153846,0.9019607843137256
1652,226,stacked,train,0.912621359223301,0.9183673469387755,0.9,0.9090909090909091
1653,226,stacked,test,0.9423076923076923,0.9615384615384616,0.9259259259259259,0.9433962264150944
1654,227,stacked,train,0.9038461538461539,0.8909090909090909,0.9245283018867925,0.9074074074074073
1655,227,stacked,test,0.9215686274509803,0.8571428571428571,1.0,0.923076923076923
1656,228,stacked,train,0.912621359223301,0.9361702127659575,0.88,0.9072164948453608
1657,228,stacked,test,0.8653846153846154,0.9166666666666666,0.8148148148148148,0.8627450980392156
1658,229,stacked,train,0.9320388349514563,0.9347826086956522,0.9148936170212766,0.924731182795699
1659,229,stacked,test,0.8846153846153846,0.9615384615384616,0.8333333333333334,0.8928571428571429
1660,230,stacked,train,0.9326923076923077,0.9464285714285714,0.9298245614035088,0.9380530973451328
1661,230,stacked,test,0.9019607843137255,0.8,1.0,0.888888888888889
1662,231,stacked,train,0.9223300970873787,0.9107142857142857,0.9444444444444444,0.9272727272727271
1663,231,stacked,test,0.8846153846153846,0.8148148148148148,0.9565217391304348,0.8800000000000001
