,fold_id,model_name,set,accuracy,precision,recall,f1,auc
83,41,BernoulliNB,test,0.9032258064516129,0.8518518518518519,0.92,0.8846153846153846,0.9205405405405405
84,42,BernoulliNB,train,0.8955823293172691,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.9065145502645502
85,42,BernoulliNB,test,0.928,0.9183673469387755,0.9,0.9090909090909091,0.9590666666666666
86,43,BernoulliNB,train,0.927710843373494,0.9019607843137255,0.92,0.9108910891089109,0.9391275167785235
87,43,BernoulliNB,test,0.864,0.8392857142857143,0.8545454545454545,0.8468468468468467,0.8945454545454544
88,44,BernoulliNB,train,0.908,0.8867924528301887,0.8952380952380953,0.8909952606635072,0.9268637110016421
89,44,BernoulliNB,test,0.9112903225806451,0.8823529411764706,0.9,0.8910891089108911,0.9187837837837837
90,45,BernoulliNB,train,0.8995983935742972,0.8867924528301887,0.8785046728971962,0.8826291079812206,0.908845596946163
91,45,BernoulliNB,test,0.928,0.8823529411764706,0.9375,0.9090909090909091,0.9557629870129869
92,46,BernoulliNB,train,0.8955823293172691,0.875,0.875,0.875,0.9191976127320953
93,46,BernoulliNB,test,0.92,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9337572866984631
94,47,BernoulliNB,train,0.928,0.8932038834951457,0.9292929292929293,0.9108910891089108,0.9466185029098936
95,47,BernoulliNB,test,0.8709677419354839,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.875
96,48,BernoulliNB,train,0.9116465863453815,0.8807339449541285,0.9142857142857143,0.8971962616822431,0.9283068783068783
97,48,BernoulliNB,test,0.896,0.8775510204081632,0.86,0.8686868686868686,0.9105333333333332
98,49,BernoulliNB,train,0.9236947791164659,0.9183673469387755,0.8910891089108911,0.9045226130653267,0.9476518597805726
99,49,BernoulliNB,test,0.872,0.8166666666666667,0.9074074074074074,0.8596491228070176,0.8737610850286907
100,50,BernoulliNB,train,0.892,0.8598130841121495,0.8846153846153846,0.872037914691943,0.8980835089567966
101,50,BernoulliNB,test,0.9354838709677419,0.9574468085106383,0.8823529411764706,0.9183673469387754,0.9832124630674187
102,51,BernoulliNB,train,0.8955823293172691,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.9091931216931216
103,51,BernoulliNB,test,0.936,0.9038461538461539,0.94,0.9215686274509804,0.948
104,52,BernoulliNB,train,0.9236947791164659,0.8932038834951457,0.92,0.9064039408866995,0.9434899328859061
105,52,BernoulliNB,test,0.872,0.8823529411764706,0.8181818181818182,0.8490566037735848,0.8903896103896104
106,53,BernoulliNB,train,0.908,0.8942307692307693,0.8857142857142857,0.8899521531100478,0.9288341543513957
107,53,BernoulliNB,test,0.9032258064516129,0.8518518518518519,0.92,0.8846153846153846,0.9147297297297297
108,54,BernoulliNB,train,0.9036144578313253,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9110449735449735
109,54,BernoulliNB,test,0.912,0.8679245283018868,0.92,0.8932038834951457,0.9484
110,55,BernoulliNB,train,0.9317269076305221,0.9134615384615384,0.9223300970873787,0.9178743961352658,0.9469011836680409
111,55,BernoulliNB,test,0.864,0.8301886792452831,0.8461538461538461,0.8380952380952382,0.875263435194942
112,56,BernoulliNB,train,0.892,0.8640776699029126,0.8725490196078431,0.8682926829268292,0.9134538950715422
113,56,BernoulliNB,test,0.9354838709677419,0.9411764705882353,0.9056603773584906,0.923076923076923,0.9459208078660643
114,57,BernoulliNB,train,0.8995983935742972,0.87,0.8787878787878788,0.8743718592964824,0.9012794612794612
115,57,BernoulliNB,test,0.92,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9616977225672879
116,58,BernoulliNB,train,0.9196787148594378,0.9065420560747663,0.9065420560747663,0.9065420560747663,0.9407002764249046
117,58,BernoulliNB,test,0.88,0.8235294117647058,0.875,0.8484848484848485,0.8896103896103896
118,59,BernoulliNB,train,0.908,0.8857142857142857,0.8942307692307693,0.8899521531100478,0.9256783456269758
119,59,BernoulliNB,test,0.9112903225806451,0.8846153846153846,0.9019607843137255,0.8932038834951457,0.915928015041633
120,60,BernoulliNB,train,0.9236947791164659,0.8962264150943396,0.9223300970873787,0.9090909090909091,0.9449727357361352
121,60,BernoulliNB,test,0.88,0.8627450980392157,0.8461538461538461,0.854368932038835,0.8844836670179136
122,61,BernoulliNB,train,0.9036144578313253,0.8673469387755102,0.8854166666666666,0.8762886597938144,0.9127519063180829
123,61,BernoulliNB,test,0.92,0.9152542372881356,0.9152542372881356,0.9152542372881356,0.9410631741140215
124,62,BernoulliNB,train,0.9,0.8909090909090909,0.8828828828828829,0.8868778280542986,0.9130209346036684
125,62,BernoulliNB,test,0.9193548387096774,0.8541666666666666,0.9318181818181818,0.8913043478260869,0.9446022727272727
126,63,BernoulliNB,train,0.9076305220883534,0.8640776699029126,0.9081632653061225,0.8855721393034826,0.9145492634139748
127,63,BernoulliNB,test,0.912,0.9259259259259259,0.8771929824561403,0.9009009009009009,0.9425954592363261
128,64,BernoulliNB,train,0.9076305220883534,0.8979591836734694,0.8712871287128713,0.8844221105527638,0.9284854161091785
129,64,BernoulliNB,test,0.904,0.85,0.9444444444444444,0.8947368421052632,0.9140584246218048
130,65,BernoulliNB,train,0.912,0.8938053097345132,0.9099099099099099,0.9017857142857143,0.9253030008425692
131,65,BernoulliNB,test,0.9032258064516129,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9221590909090909
132,66,BernoulliNB,train,0.9116465863453815,0.8888888888888888,0.9056603773584906,0.897196261682243,0.9373927958833619
133,66,BernoulliNB,test,0.904,0.8775510204081632,0.8775510204081632,0.8775510204081631,0.894468313641246
134,67,BernoulliNB,train,0.9036144578313253,0.8936170212765957,0.8571428571428571,0.875,0.9224895256115693
135,67,BernoulliNB,test,0.904,0.8688524590163934,0.9298245614035088,0.8983050847457625,0.9213106295149638
136,68,BernoulliNB,train,0.916,0.8828828828828829,0.9245283018867925,0.903225806451613,0.9143081761006291
137,68,BernoulliNB,test,0.8951612903225806,0.8913043478260869,0.8367346938775511,0.8631578947368421,0.9365986394557823
138,69,BernoulliNB,train,0.927710843373494,0.9215686274509803,0.9038461538461539,0.9126213592233009,0.93776525198939
139,69,BernoulliNB,test,0.864,0.8035714285714286,0.8823529411764706,0.8411214953271029,0.8940116587175411
140,70,BernoulliNB,train,0.9036144578313253,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.927904495131386
141,70,BernoulliNB,test,0.92,0.8909090909090909,0.9245283018867925,0.9074074074074073,0.9157494758909854
142,71,BernoulliNB,train,0.892,0.8598130841121495,0.8846153846153846,0.872037914691943,0.9098722339304531
143,71,BernoulliNB,test,0.9354838709677419,0.9574468085106383,0.8823529411764706,0.9183673469387754,0.9554123019070642
144,72,BernoulliNB,train,0.8995983935742972,0.8807339449541285,0.8888888888888888,0.8847926267281107,0.9213619648016811
145,72,BernoulliNB,test,0.92,0.9111111111111111,0.8723404255319149,0.891304347826087,0.9294871794871795
146,73,BernoulliNB,train,0.9236947791164659,0.9,0.9090909090909091,0.9045226130653266,0.9437710437710437
147,73,BernoulliNB,test,0.872,0.8448275862068966,0.875,0.8596491228070176,0.8836697722567288
148,74,BernoulliNB,train,0.9,0.875,0.883495145631068,0.8792270531400966,0.9059177068885808
149,74,BernoulliNB,test,0.9193548387096774,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.9587339743589743
150,75,BernoulliNB,train,0.9116465863453815,0.9042553191489362,0.8673469387755102,0.8854166666666667,0.935734558724152
151,75,BernoulliNB,test,0.896,0.8666666666666667,0.9122807017543859,0.8888888888888888,0.8947368421052632
152,76,BernoulliNB,train,0.9036144578313253,0.8773584905660378,0.8942307692307693,0.8857142857142858,0.9140583554376658
153,76,BernoulliNB,test,0.92,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9406465288818229
154,77,BernoulliNB,train,0.912,0.8839285714285714,0.9166666666666666,0.8999999999999999,0.9227634324465311
155,77,BernoulliNB,test,0.8951612903225806,0.8695652173913043,0.851063829787234,0.8602150537634409,0.9200055263885051
156,78,BernoulliNB,train,0.9196787148594378,0.8990825688073395,0.9158878504672897,0.9074074074074073,0.9328682374621561
157,78,BernoulliNB,test,0.888,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.899621212121212
158,79,BernoulliNB,train,0.9196787148594378,0.91,0.8921568627450981,0.900990099009901,0.9299386421235161
159,79,BernoulliNB,test,0.88,0.8275862068965517,0.9056603773584906,0.8648648648648648,0.9102463312368972
160,80,BernoulliNB,train,0.892,0.8557692307692307,0.8811881188118812,0.8682926829268293,0.9074024852149644
161,80,BernoulliNB,test,0.9354838709677419,0.96,0.8888888888888888,0.923076923076923,0.9601851851851853
162,81,BernoulliNB,train,0.8955823293172691,0.8640776699029126,0.8811881188118812,0.8725490196078431,0.901056997591651
163,81,BernoulliNB,test,0.92,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9690923317683882
164,82,BernoulliNB,train,0.9156626506024096,0.9056603773584906,0.897196261682243,0.9014084507042254,0.9401408450704224
165,82,BernoulliNB,test,0.888,0.8269230769230769,0.8958333333333334,0.86,0.8961038961038961
166,83,BernoulliNB,train,0.912,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.9312400635930047
167,83,BernoulliNB,test,0.8951612903225806,0.8846153846153846,0.8679245283018868,0.8761904761904762,0.9060589954823279
168,84,BernoulliNB,train,0.9156626506024096,0.8878504672897196,0.9134615384615384,0.9004739336492891,0.9369694960212201
169,84,BernoulliNB,test,0.888,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8962639109697933
170,85,BernoulliNB,train,0.8955823293172691,0.8952380952380953,0.8623853211009175,0.8785046728971964,0.9101245085190041
171,85,BernoulliNB,test,0.936,0.8653846153846154,0.9782608695652174,0.9183673469387755,0.9576224545954871
172,86,BernoulliNB,train,0.916,0.8725490196078431,0.9175257731958762,0.8944723618090452,0.9281045751633987
173,86,BernoulliNB,test,0.8951612903225806,0.9090909090909091,0.8620689655172413,0.8849557522123893,0.9188871473354233
174,87,BernoulliNB,train,0.8875502008032129,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.899867374005305
175,87,BernoulliNB,test,0.944,0.94,0.9215686274509803,0.9306930693069307,0.9724430312665606
176,88,BernoulliNB,train,0.9156626506024096,0.9038461538461539,0.8952380952380953,0.8995215311004785,0.9284060846560847
177,88,BernoulliNB,test,0.888,0.8333333333333334,0.9,0.8653846153846153,0.9158666666666665
178,89,BernoulliNB,train,0.924,0.8942307692307693,0.9207920792079208,0.9073170731707317,0.9434513921190777
179,89,BernoulliNB,test,0.8790322580645161,0.8679245283018868,0.8518518518518519,0.8598130841121496,0.8841269841269842
180,90,BernoulliNB,train,0.9116465863453815,0.8785046728971962,0.912621359223301,0.8952380952380954,0.9314071020082458
181,90,BernoulliNB,test,0.896,0.8823529411764706,0.8653846153846154,0.8737864077669903,0.9075342465753424
182,91,BernoulliNB,train,0.9036144578313253,0.8811881188118812,0.8811881188118812,0.8811881188118812,0.907880652930158
183,91,BernoulliNB,test,0.92,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9531820552947313
184,92,BernoulliNB,train,0.912,0.8962264150943396,0.8962264150943396,0.8962264150943396,0.9309813941299789
185,92,BernoulliNB,test,0.9032258064516129,0.8627450980392157,0.8979591836734694,0.8799999999999999,0.9059863945578231
186,93,BernoulliNB,train,0.9036144578313253,0.8666666666666667,0.900990099009901,0.8834951456310681,0.9233342253144233
187,93,BernoulliNB,test,0.92,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9239697443922794
188,94,BernoulliNB,train,0.9116465863453815,0.8877551020408163,0.8877551020408163,0.8877551020408163,0.9270171644816868
189,94,BernoulliNB,test,0.904,0.8813559322033898,0.9122807017543859,0.8965517241379309,0.9109907120743035
190,95,BernoulliNB,train,0.908,0.9,0.8918918918918919,0.8959276018099547,0.9250761552919827
191,95,BernoulliNB,test,0.8951612903225806,0.8444444444444444,0.8636363636363636,0.853932584269663,0.9201704545454545
192,96,BernoulliNB,train,0.9156626506024096,0.9158878504672897,0.8909090909090909,0.9032258064516129,0.9314257684761281
193,96,BernoulliNB,test,0.896,0.82,0.9111111111111111,0.8631578947368421,0.9076388888888888
194,97,BernoulliNB,train,0.9036144578313253,0.8571428571428571,0.8936170212765957,0.875,0.9145504461221688
195,97,BernoulliNB,test,0.92,0.9322033898305084,0.9016393442622951,0.9166666666666666,0.9407018442622952
196,98,BernoulliNB,train,0.908,0.8807339449541285,0.9056603773584906,0.8930232558139536,0.9275746855345913
197,98,BernoulliNB,test,0.9032258064516129,0.8775510204081632,0.8775510204081632,0.8775510204081631,0.91156462585034
198,99,BernoulliNB,train,0.891566265060241,0.8490566037735849,0.8910891089108911,0.8695652173913043,0.9063754348407813
199,99,BernoulliNB,test,0.944,0.9607843137254902,0.9074074074074074,0.9333333333333333,0.9597026604068858
200,100,BernoulliNB,train,0.9196787148594378,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9374082966519941
201,100,BernoulliNB,test,0.888,0.8545454545454545,0.8867924528301887,0.8703703703703703,0.8928197064989519
202,101,BernoulliNB,train,0.916,0.9056603773584906,0.897196261682243,0.9014084507042254,0.9274557218482451
203,101,BernoulliNB,test,0.8951612903225806,0.8431372549019608,0.8958333333333334,0.8686868686868686,0.9121436403508771
204,0,GaussianNB,train,0.9236947791164659,0.9017857142857143,0.926605504587156,0.9140271493212669,0.9472804718217562
205,0,GaussianNB,test,0.912,0.8571428571428571,0.9130434782608695,0.8842105263157894,0.9247385800770501
206,1,GaussianNB,train,0.9236947791164659,0.8921568627450981,0.9191919191919192,0.9054726368159205,0.9400336700336701
207,1,GaussianNB,test,0.904,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9294772256728778
208,2,GaussianNB,train,0.912,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.927331743508214
209,2,GaussianNB,test,0.9354838709677419,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.9449906989104438
210,3,GaussianNB,train,0.9156626506024096,0.8932038834951457,0.9019607843137255,0.8975609756097561,0.929405095371482
211,3,GaussianNB,test,0.928,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.9550576519916143
212,4,GaussianNB,train,0.9156626506024096,0.8796296296296297,0.9223300970873787,0.9004739336492891,0.9381899188721905
213,4,GaussianNB,test,0.928,0.9056603773584906,0.9230769230769231,0.9142857142857143,0.9311116965226555
214,5,GaussianNB,train,0.928,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.9438095238095239
215,5,GaussianNB,test,0.9032258064516129,0.88,0.88,0.88,0.9201351351351351
216,6,GaussianNB,train,0.927710843373494,0.9134615384615384,0.9134615384615384,0.9134615384615384,0.9388594164456233
217,6,GaussianNB,test,0.904,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9379968203497615
218,7,GaussianNB,train,0.9116465863453815,0.8598130841121495,0.9292929292929293,0.8932038834951457,0.9398989898989898
219,7,GaussianNB,test,0.936,0.9444444444444444,0.9107142857142857,0.9272727272727271,0.9277950310559004
220,8,GaussianNB,train,0.916,0.8909090909090909,0.9158878504672897,0.9032258064516129,0.9338605319913732
221,8,GaussianNB,test,0.9112903225806451,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.9436677631578947
222,9,GaussianNB,train,0.9236947791164659,0.8962264150943396,0.9223300970873787,0.9090909090909091,0.9490956244181408
223,9,GaussianNB,test,0.912,0.8727272727272727,0.9230769230769231,0.897196261682243,0.9027924130663857
224,10,GaussianNB,train,0.9036144578313253,0.8571428571428571,0.9090909090909091,0.8823529411764706,0.9334006734006733
225,10,GaussianNB,test,0.936,0.9444444444444444,0.9107142857142857,0.9272727272727271,0.9488871635610766
226,11,GaussianNB,train,0.924,0.908256880733945,0.9166666666666666,0.912442396313364,0.9343375065206051
227,11,GaussianNB,test,0.9112903225806451,0.8461538461538461,0.9361702127659575,0.8888888888888888,0.940591323570047
228,12,GaussianNB,train,0.9116465863453815,0.8557692307692307,0.9270833333333334,0.8899999999999999,0.936376633986928
229,12,GaussianNB,test,0.92,0.9454545454545454,0.8813559322033898,0.9122807017543859,0.9426040061633283
