,fold_id,model_name,set,accuracy,precision,recall,f1,auc
982,83,KNeigh,train,0.932,0.9207920792079208,0.9117647058823529,0.9162561576354681,0.9753245892951774
983,83,KNeigh,test,0.9112903225806451,0.8888888888888888,0.9056603773584906,0.897196261682243,0.9129683762955089
984,84,KNeigh,train,0.9437751004016064,0.9326923076923077,0.9326923076923077,0.9326923076923077,0.9803050397877985
985,84,KNeigh,test,0.888,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.9048754636989931
986,85,KNeigh,train,0.9196787148594378,0.9158878504672897,0.8990825688073395,0.9074074074074073,0.9696264744429883
987,85,KNeigh,test,0.944,0.8823529411764706,0.9782608695652174,0.9278350515463919,0.9545954870665933
988,86,KNeigh,train,0.928,0.898989898989899,0.9175257731958762,0.9081632653061225,0.977393706623543
989,86,KNeigh,test,0.9193548387096774,0.9285714285714286,0.896551724137931,0.912280701754386,0.9494514106583072
990,87,KNeigh,train,0.9036144578313253,0.9,0.8653846153846154,0.8823529411764707,0.9644562334217507
991,87,KNeigh,test,0.952,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9686009538950715
992,88,KNeigh,train,0.9317269076305221,0.9150943396226415,0.9238095238095239,0.9194312796208531,0.9802579365079365
993,88,KNeigh,test,0.904,0.8518518518518519,0.92,0.8846153846153846,0.9048
994,89,KNeigh,train,0.944,0.9142857142857143,0.9504950495049505,0.9320388349514563,0.9814605621635989
995,89,KNeigh,test,0.9112903225806451,0.9215686274509803,0.8703703703703703,0.8952380952380952,0.8968253968253967
996,90,KNeigh,train,0.9477911646586346,0.9245283018867925,0.9514563106796117,0.9377990430622011,0.986068626147094
997,90,KNeigh,test,0.896,0.9148936170212766,0.8269230769230769,0.8686868686868686,0.9083245521601686
998,91,KNeigh,train,0.9156626506024096,0.8921568627450981,0.900990099009901,0.8965517241379312,0.9653465346534653
999,91,KNeigh,test,0.952,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.9662232655190401
1000,92,KNeigh,train,0.92,0.9134615384615384,0.8962264150943396,0.9047619047619048,0.9740566037735849
1001,92,KNeigh,test,0.9193548387096774,0.8823529411764706,0.9183673469387755,0.9,0.9289795918367347
1002,93,KNeigh,train,0.9196787148594378,0.8857142857142857,0.9207920792079208,0.9029126213592233,0.964945143162965
1003,93,KNeigh,test,0.96,0.9803921568627451,0.9259259259259259,0.9523809523809523,0.9607459572248305
1004,94,KNeigh,train,0.9397590361445783,0.9278350515463918,0.9183673469387755,0.923076923076923,0.9752331396134613
1005,94,KNeigh,test,0.92,0.8983050847457628,0.9298245614035088,0.9137931034482759,0.9286635706914345
1006,95,KNeigh,train,0.932,0.9272727272727272,0.918918918918919,0.9230769230769231,0.9824680795903817
1007,95,KNeigh,test,0.9032258064516129,0.8478260869565217,0.8863636363636364,0.8666666666666666,0.910653409090909
1008,96,KNeigh,train,0.927710843373494,0.9259259259259259,0.9090909090909091,0.9174311926605504,0.9727272727272727
1009,96,KNeigh,test,0.92,0.8431372549019608,0.9555555555555556,0.8958333333333333,0.9505555555555556
1010,97,KNeigh,train,0.927710843373494,0.9130434782608695,0.8936170212765957,0.9032258064516129,0.9778997940974605
1011,97,KNeigh,test,0.944,0.95,0.9344262295081968,0.9421487603305784,0.9500512295081966
1012,98,KNeigh,train,0.92,0.8706896551724138,0.9528301886792453,0.9099099099099099,0.9795597484276729
1013,98,KNeigh,test,0.8951612903225806,0.86,0.8775510204081632,0.8686868686868686,0.889795918367347
1014,99,KNeigh,train,0.9196787148594378,0.900990099009901,0.900990099009901,0.9009900990099011,0.9688921594862188
1015,99,KNeigh,test,0.952,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9660928534167971
1016,100,KNeigh,train,0.9357429718875502,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9776910764305722
1017,100,KNeigh,test,0.904,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.9090670859538784
1018,101,KNeigh,train,0.936,0.941747572815534,0.9065420560747663,0.9238095238095239,0.9828769361479642
1019,101,KNeigh,test,0.9112903225806451,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.9172149122807018
1020,0,svc,train,0.927710843373494,0.9099099099099099,0.926605504587156,0.9181818181818182,0.9487221494102228
1021,0,svc,test,0.904,0.84,0.9130434782608695,0.8749999999999999,0.9387727022564668
1022,1,svc,train,0.9437751004016064,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9576094276094277
1023,1,svc,test,0.912,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.921195652173913
1024,2,svc,train,0.924,0.9029126213592233,0.9117647058823529,0.9073170731707318,0.9413089560148384
1025,2,svc,test,0.9435483870967742,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.9526973159712995
1026,3,svc,train,0.9317269076305221,0.9292929292929293,0.9019607843137255,0.9154228855721392,0.9459450446845405
1027,3,svc,test,0.928,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.9508647798742138
1028,4,svc,train,0.9357429718875502,0.9223300970873787,0.9223300970873787,0.9223300970873787,0.9430442878042293
1029,4,svc,test,0.936,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9458640674394099
1030,5,svc,train,0.932,0.9,0.9428571428571428,0.9209302325581394,0.9518883415435139
1031,5,svc,test,0.9032258064516129,0.88,0.88,0.88,0.9271621621621621
1032,6,svc,train,0.9357429718875502,0.9313725490196079,0.9134615384615384,0.9223300970873786,0.9495358090185676
1033,6,svc,test,0.904,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.9340222575516693
1034,7,svc,train,0.9236947791164659,0.8846153846153846,0.9292929292929293,0.9064039408866995,0.942053872053872
1035,7,svc,test,0.936,0.9444444444444444,0.9107142857142857,0.9272727272727271,0.936335403726708
1036,8,svc,train,0.932,0.9166666666666666,0.9252336448598131,0.9209302325581395,0.9466701522776291
1037,8,svc,test,0.9193548387096774,0.88,0.9166666666666666,0.8979591836734694,0.9211896929824561
1038,9,svc,train,0.9397590361445783,0.9313725490196079,0.9223300970873787,0.9268292682926829,0.9514230615773375
1039,9,svc,test,0.92,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.9286090621707059
1040,10,svc,train,0.927710843373494,0.8932038834951457,0.9292929292929293,0.9108910891089108,0.9412121212121213
1041,10,svc,test,0.944,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9517339544513457
1042,11,svc,train,0.924,0.908256880733945,0.9166666666666666,0.912442396313364,0.9511606677099634
1043,11,svc,test,0.9112903225806451,0.8461538461538461,0.9361702127659575,0.8888888888888888,0.9369991710417243
1044,12,svc,train,0.9397590361445783,0.9090909090909091,0.9375,0.923076923076923,0.9435934095860566
1045,12,svc,test,0.936,0.9636363636363636,0.8983050847457628,0.9298245614035089,0.9459424756034926
1046,13,svc,train,0.927710843373494,0.9326923076923077,0.8981481481481481,0.9150943396226415,0.9430654058313632
1047,13,svc,test,0.936,0.8679245283018868,0.9787234042553191,0.9199999999999999,0.9558101472995091
1048,14,svc,train,0.94,0.9252336448598131,0.9339622641509434,0.9295774647887324,0.9626899895178197
1049,14,svc,test,0.8951612903225806,0.8461538461538461,0.8979591836734694,0.8712871287128713,0.9089795918367347
1050,15,svc,train,0.9437751004016064,0.9479166666666666,0.91,0.9285714285714285,0.9586912751677852
1051,15,svc,test,0.928,0.896551724137931,0.9454545454545454,0.920353982300885,0.917012987012987
1052,16,svc,train,0.9196787148594378,0.8818181818181818,0.9326923076923077,0.9065420560747663,0.9475464190981432
1053,16,svc,test,0.92,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9397191308956014
1054,17,svc,train,0.924,0.8990825688073395,0.9245283018867925,0.9116279069767442,0.948997641509434
1055,17,svc,test,0.9193548387096774,0.8823529411764706,0.9183673469387755,0.9,0.9477551020408164
1056,18,svc,train,0.9357429718875502,0.9369369369369369,0.9203539823008849,0.9285714285714286,0.9442998438313378
1057,18,svc,test,0.944,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9602696500286863
1058,19,svc,train,0.9236947791164659,0.8952380952380953,0.9215686274509803,0.9082125603864734,0.9512805122048819
1059,19,svc,test,0.912,0.875,0.9245283018867925,0.8990825688073395,0.9288522012578616
1060,20,svc,train,0.94,0.9166666666666666,0.9263157894736842,0.9214659685863874,0.9499830220713072
1061,20,svc,test,0.9032258064516129,0.8870967741935484,0.9166666666666666,0.9016393442622951,0.9276041666666667
1062,21,svc,train,0.9357429718875502,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9523476057089503
1063,21,svc,test,0.928,0.9074074074074074,0.9245283018867925,0.9158878504672898,0.9435272536687631
1064,22,svc,train,0.9397590361445783,0.9245283018867925,0.9333333333333333,0.9289099526066351,0.9506613756613757
1065,22,svc,test,0.912,0.8823529411764706,0.9,0.8910891089108911,0.9309333333333333
1066,23,svc,train,0.932,0.9215686274509803,0.912621359223301,0.9170731707317074,0.9432336041212602
1067,23,svc,test,0.9193548387096774,0.875,0.9423076923076923,0.9074074074074073,0.9435096153846153
1068,24,svc,train,0.927710843373494,0.9191919191919192,0.900990099009901,0.91,0.9460462938185711
1069,24,svc,test,0.96,0.9454545454545454,0.9629629629629629,0.9541284403669724,0.9551382368283776
1070,25,svc,train,0.9357429718875502,0.9108910891089109,0.9292929292929293,0.9199999999999999,0.9523569023569024
1071,25,svc,test,0.912,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9294772256728779
1072,26,svc,train,0.932,0.911504424778761,0.9363636363636364,0.9237668161434978,0.9512337662337662
1073,26,svc,test,0.8951612903225806,0.8333333333333334,0.8888888888888888,0.8602150537634408,0.908438818565401
1074,27,svc,train,0.9477911646586346,0.9166666666666666,0.9611650485436893,0.9383886255924171,0.9717050139646229
