fold_id,model_name,set,accuracy,precision,recall,f1
13,GaussianNB,test,0.936,0.8679245283018868,0.9787234042553192,0.92
14,GaussianNB,train,0.932,0.908256880733945,0.9339622641509434,0.9209302325581395
14,GaussianNB,test,0.8951612903225806,0.8461538461538461,0.8979591836734694,0.8712871287128713
15,GaussianNB,train,0.9196787148594378,0.8921568627450981,0.91,0.900990099009901
15,GaussianNB,test,0.92,0.8813559322033898,0.9454545454545454,0.912280701754386
16,GaussianNB,train,0.9196787148594378,0.8818181818181818,0.9326923076923076,0.9065420560747663
16,GaussianNB,test,0.92,0.9019607843137256,0.9019607843137256,0.9019607843137256
17,GaussianNB,train,0.924,0.8990825688073395,0.9245283018867924,0.9116279069767442
17,GaussianNB,test,0.9193548387096774,0.8823529411764706,0.9183673469387756,0.9
18,GaussianNB,train,0.9076305220883534,0.8813559322033898,0.9203539823008848,0.9004329004329005
18,GaussianNB,test,0.944,0.9069767441860463,0.9285714285714286,0.9176470588235294
19,GaussianNB,train,0.923694779116466,0.8952380952380953,0.9215686274509804,0.9082125603864734
19,GaussianNB,test,0.912,0.875,0.9245283018867924,0.8990825688073395
20,GaussianNB,train,0.928,0.8888888888888888,0.9263157894736842,0.9072164948453608
20,GaussianNB,test,0.9032258064516128,0.8870967741935484,0.9166666666666666,0.9016393442622952
21,GaussianNB,train,0.9156626506024096,0.8785046728971962,0.9215686274509804,0.8995215311004785
21,GaussianNB,test,0.928,0.9074074074074074,0.9245283018867924,0.9158878504672898
22,GaussianNB,train,0.9196787148594378,0.8899082568807339,0.923809523809524,0.9065420560747663
22,GaussianNB,test,0.904,0.88,0.88,0.88
23,GaussianNB,train,0.92,0.8952380952380953,0.912621359223301,0.903846153846154
23,GaussianNB,test,0.9193548387096774,0.875,0.9423076923076924,0.9074074074074072
24,GaussianNB,train,0.9036144578313252,0.8666666666666667,0.900990099009901,0.8834951456310681
24,GaussianNB,test,0.952,0.9285714285714286,0.9629629629629628,0.9454545454545454
25,GaussianNB,train,0.923694779116466,0.8846153846153846,0.9292929292929292,0.9064039408866996
25,GaussianNB,test,0.912,0.8947368421052632,0.9107142857142856,0.9026548672566372
26,GaussianNB,train,0.932,0.911504424778761,0.9363636363636364,0.9237668161434978
26,GaussianNB,test,0.8951612903225806,0.8333333333333334,0.8888888888888888,0.8602150537634408
27,GaussianNB,train,0.931726907630522,0.8981481481481481,0.941747572815534,0.9194312796208532
27,GaussianNB,test,0.864,0.8571428571428571,0.8076923076923077,0.8316831683168318
28,GaussianNB,train,0.9076305220883534,0.89,0.8811881188118812,0.8855721393034827
28,GaussianNB,test,0.944,0.8852459016393442,1.0,0.9391304347826086
29,GaussianNB,train,0.912,0.875,0.9245283018867924,0.8990825688073395
29,GaussianNB,test,0.935483870967742,0.9183673469387756,0.9183673469387756,0.9183673469387756
30,GaussianNB,train,0.9196787148594378,0.8771929824561403,0.9433962264150944,0.9090909090909092
30,GaussianNB,test,0.888,0.9069767441860463,0.7959183673469388,0.8478260869565216
31,GaussianNB,train,0.8995983935742972,0.8666666666666667,0.8921568627450981,0.8792270531400966
31,GaussianNB,test,0.96,0.9285714285714286,0.981132075471698,0.9541284403669724
32,GaussianNB,train,0.932,0.9207920792079208,0.9117647058823528,0.916256157635468
32,GaussianNB,test,0.8951612903225806,0.8333333333333334,0.9433962264150944,0.8849557522123894
33,GaussianNB,train,0.9076305220883534,0.875,0.9158878504672896,0.8949771689497716
33,GaussianNB,test,0.944,0.9183673469387756,0.9375,0.9278350515463918
34,GaussianNB,train,0.9196787148594378,0.8918918918918919,0.9252336448598132,0.908256880733945
34,GaussianNB,test,0.92,0.88,0.9166666666666666,0.8979591836734694
35,GaussianNB,train,0.932,0.898989898989899,0.9270833333333334,0.9128205128205128
35,GaussianNB,test,0.8951612903225806,0.8709677419354839,0.9152542372881356,0.8925619834710744
36,GaussianNB,train,0.9156626506024096,0.9029126213592232,0.8942307692307693,0.8985507246376813
36,GaussianNB,test,0.928,0.8620689655172413,0.9803921568627452,0.9174311926605504
37,GaussianNB,train,0.923694779116466,0.8727272727272727,0.9504950495049505,0.909952606635071
37,GaussianNB,test,0.904,0.9375,0.8333333333333334,0.8823529411764706
38,GaussianNB,train,0.916,0.8888888888888888,0.9142857142857144,0.9014084507042254
38,GaussianNB,test,0.9274193548387096,0.8867924528301887,0.94,0.912621359223301
39,GaussianNB,train,0.9076305220883534,0.8557692307692307,0.9175257731958762,0.8855721393034824
39,GaussianNB,test,0.944,0.9473684210526316,0.9310344827586208,0.9391304347826088
40,GaussianNB,train,0.923694779116466,0.9009009009009008,0.925925925925926,0.91324200913242
40,GaussianNB,test,0.912,0.86,0.9148936170212766,0.8865979381443299
41,GaussianNB,train,0.928,0.9065420560747663,0.923809523809524,0.9150943396226416
41,GaussianNB,test,0.9032258064516128,0.8518518518518519,0.92,0.8846153846153846
42,GaussianNB,train,0.9036144578313252,0.8715596330275229,0.9047619047619048,0.8878504672897196
42,GaussianNB,test,0.952,0.9230769230769232,0.96,0.9411764705882352
43,GaussianNB,train,0.9397590361445785,0.9047619047619048,0.95,0.9268292682926828
43,GaussianNB,test,0.88,0.8571428571428571,0.8727272727272727,0.8648648648648648
44,GaussianNB,train,0.916,0.8888888888888888,0.9142857142857144,0.9014084507042254
44,GaussianNB,test,0.9274193548387096,0.8867924528301887,0.94,0.912621359223301
45,GaussianNB,train,0.9076305220883534,0.8888888888888888,0.897196261682243,0.8930232558139535
45,GaussianNB,test,0.944,0.8867924528301887,0.9791666666666666,0.9306930693069309
46,GaussianNB,train,0.9116465863453816,0.8796296296296297,0.9134615384615384,0.8962264150943395
46,GaussianNB,test,0.936,0.9056603773584906,0.9411764705882352,0.923076923076923
47,GaussianNB,train,0.936,0.8952380952380953,0.9494949494949496,0.9215686274509804
47,GaussianNB,test,0.8709677419354839,0.8703703703703703,0.8392857142857143,0.8545454545454546
48,GaussianNB,train,0.9156626506024096,0.8818181818181818,0.923809523809524,0.9023255813953488
